Company Name,Sales,Operating Income,Net Income,Operating CF,,단위: 억 원
,"2,037 ",305 ,273 ,346 ,<-,20년
,"2,329 ",348 ,252 ,172 ,<-,21년
,"2,648 ",198 ,159 ,67 ,<-,22년
엠에스오토텍,"8,920 ",274 ,50 ,878 ,<-,18년
,"12,744 ",667 ,348 ,"1,599 ",<-,19년
,"12,165 ",268 ,"-1,460 ",668 ,<-,20년
,"15,218 ",513 ,202 ,91 ,<-,21년
,"20,251 ","1,491 ","1,130 ","1,551 ",<-,22년
경동제약,"1,793 ",204 ,53 ,333 ,<-,18년
,"1,765 ",246 ,228 ,-28 ,<-,19년
,"1,738 ",190 ,129 ,171 ,<-,20년
,"1,776 ",158 ,126 ,124 ,<-,21년
,"1,827 ",83 ,121 ,-11 ,<-,22년
칩스앤미디어,141 ,20 ,26 ,29 ,<-,18년
,161 ,36 ,45 ,29 ,<-,19년
,154 ,24 ,19 ,47 ,<-,20년
,200 ,52 ,63 ,99 ,<-,21년
,241 ,73 ,100 ,152 ,<-,22년
브이티지엠피,"1,095 ",134 ,107 ,-110 ,<-,18년
,"1,128 ",103 ,34 ,-35 ,<-,19년
,"1,074 ",55 ,-13 ,-32 ,<-,20년
,"2,268 ",264 ,175 ,488 ,<-,21년
,"2,402 ",236 ,132 ,540 ,<-,22년
제이브이엠,"1,036 ",133 ,82 ,199 ,<-,18년
,"1,101 ",105 ,58 ,186 ,<-,19년
,"1,154 ",157 ,104 ,198 ,<-,20년
,"1,158 ",125 ,90 ,261 ,<-,21년
,"1,420 ",220 ,158 ,148 ,<-,22년
와이지-원,"3,909 ",457 ,219 ,315 ,<-,18년
,"4,280 ",132 ,6 ,344 ,<-,19년
,"3,742 ",-158 ,-366 ,745 ,<-,20년
,"4,578 ",430 ,221 ,909 ,<-,21년
,"5,498 ",726 ,334 ,131 ,<-,22년
텔레칩스,"1,261 ",82 ,92 ,187 ,<-,18년
,"1,322 ",76 ,83 ,248 ,<-,19년
,"1,007 ",-85 ,-94 ,-154 ,<-,20년
,"1,364 ",81 ,70 ,127 ,<-,21년
,"1,504 ",92 ,459 ,-73 ,<-,22년
이노와이어리스,640 ,2 ,2 ,18 ,<-,18년
,968 ,153 ,131 ,223 ,<-,19년
,930 ,138 ,131 ,150 ,<-,20년
,907 ,134 ,152 ,138 ,<-,21년
,"1,329 ",143 ,135 ,135 ,<-,22년
세종메디칼,148 ,32 ,36 ,18 ,<-,18년
,162 ,38 ,31 ,45 ,<-,19년
,151 ,-5 ,5 ,-5 ,<-,20년
,180 ,-15 ,-59 ,-90 ,<-,21년
,161 ,-18 ,-921 ,-4 ,<-,22년
와이엠티,730 ,147 ,98 ,176 ,<-,18년
,955 ,221 ,174 ,137 ,<-,19년
,"1,135 ",235 ,198 ,244 ,<-,20년
,"1,256 ",172 ,140 ,224 ,<-,21년
,"1,306 ",33 ,26 ,135 ,<-,22년
에스티아이,"2,866 ",221 ,198 ,-326 ,<-,18년
,"3,189 ",271 ,230 ,760 ,<-,19년
,"2,691 ",154 ,107 ,278 ,<-,20년
,"3,195 ",256 ,232 ,-597 ,<-,21년
,"4,224 ",348 ,298 ,715 ,<-,22년
연우,"2,729 ",62 ,74 ,109 ,<-,18년
,"2,946 ",225 ,168 ,436 ,<-,19년
,"2,512 ",160 ,114 ,364 ,<-,20년
,"2,871 ",299 ,264 ,471 ,<-,21년
,"2,347 ",13 ,4 ,89 ,<-,22년
제룡전기,425 ,28 ,29 ,50 ,<-,18년
,452 ,57 ,56 ,73 ,<-,19년
,442 ,38 ,35 ,68 ,<-,20년
,488 ,1 ,12 ,75 ,<-,21년
,861 ,160 ,125 ,-170 ,<-,22년
어보브반도체,"1,095 ",78 ,82 ,116 ,<-,18년
,"1,268 ",139 ,134 ,176 ,<-,19년
,"1,442 ",176 ,140 ,219 ,<-,20년
,"1,675 ",176 ,137 ,136 ,<-,21년
,"2,426 ",258 ,127 ,-24 ,<-,22년
엠투엔,533 ,17 ,44 ,21 ,<-,18년
,465 ,4 ,43 ,24 ,<-,19년
,351 ,-19 ,-76 ,9 ,<-,20년
,276 ,-46 ,-581 ,-14 ,<-,21년
,285 ,-48 ,52 ,-17 ,<-,22년
세경하이테크,"2,566 ",386 ,318 ,308 ,<-,18년
,"2,813 ",234 ,211 ,241 ,<-,19년
,"2,200 ",20 ,-35 ,208 ,<-,20년
,"2,683 ",174 ,227 ,481 ,<-,21년
,"2,606 ",80 ,165 ,473 ,<-,22년
이지홀딩스,"15,094 ",930 ,417 ,105 ,<-,18년
,"16,149 ",416 ,-130 ,"1,078 ",<-,19년
,"16,083 ",470 ,845 ,94 ,<-,20년
,"19,840 ","1,004 ",92 ,209 ,<-,21년
,"30,103 ",999 ,269 ,-485 ,<-,22년
와이솔,"3,662 ",548 ,454 ,874 ,<-,18년
,"3,703 ",400 ,304 ,491 ,<-,19년
,"3,350 ",171 ,34 ,753 ,<-,20년
,"3,709 ",139 ,270 ,600 ,<-,21년
,"3,459 ",-130 ,-148 ,480 ,<-,22년
제주반도체,"1,444 ",157 ,106 ,-210 ,<-,18년
,"1,091 ",57 ,-48 ,95 ,<-,19년
,"1,270 ",66 ,111 ,123 ,<-,20년
,"1,933 ",201 ,128 ,73 ,<-,21년
,"1,750 ",282 ,247 ,-22 ,<-,22년
한양디지텍,940 ,29 ,9 ,62 ,<-,18년
,680 ,-79 ,-128 ,-97 ,<-,19년
,"1,597 ",69 ,45 ,101 ,<-,20년
,"3,034 ",300 ,242 ,320 ,<-,21년
,"4,848 ",528 ,372 ,197 ,<-,22년
위닉스,"3,306 ",206 ,189 ,343 ,<-,18년
,"3,862 ",514 ,399 ,334 ,<-,19년
,"3,823 ",520 ,424 ,347 ,<-,20년
,"4,002 ",256 ,200 ,-88 ,<-,21년
,"3,290 ",38 ,22 ,69 ,<-,22년
덕우전자,884 ,21 ,-14 ,-56 ,<-,18년
,"1,294 ",124 ,92 ,187 ,<-,19년
,"1,534 ",116 ,102 ,244 ,<-,20년
,"1,757 ",52 ,42 ,169 ,<-,21년
,"2,090 ",189 ,130 ,129 ,<-,22년
레이언스,"1,164 ",212 ,156 ,147 ,<-,18년
,"1,262 ",228 ,138 ,95 ,<-,19년
,"1,015 ",84 ,-41 ,233 ,<-,20년
,"1,346 ",241 ,141 ,209 ,<-,21년
,"1,472 ",254 ,218 ,166 ,<-,22년
영풍정밀,659 ,91 ,113 ,106 ,<-,18년
,750 ,101 ,126 ,175 ,<-,19년
,908 ,103 ,133 ,80 ,<-,20년
,787 ,85 ,118 ,187 ,<-,21년
,891 ,120 ,155 ,127 ,<-,22년
펌텍코리아,"1,511 ",245 ,208 ,183 ,<-,18년
,"1,754 ",269 ,229 ,251 ,<-,19년
,"1,968 ",274 ,245 ,10 ,<-,20년
,"2,220 ",261 ,197 ,241 ,<-,21년
,"2,366 ",265 ,200 ,294 ,<-,22년
뉴프렉스,"1,955 ",106 ,74 ,132 ,<-,18년
,"1,283 ",-100 ,-96 ,114 ,<-,19년
,"1,486 ",-98 ,-94 ,-6 ,<-,20년
,"1,717 ",15 ,26 ,77 ,<-,21년
,"2,603 ",179 ,144 ,237 ,<-,22년
디케이티,"2,402 ",87 ,-17 ,3 ,<-,18년
,"3,377 ",129 ,79 ,96 ,<-,19년
,"3,461 ",145 ,108 ,174 ,<-,20년
,"3,152 ",181 ,87 ,97 ,<-,21년
,"3,635 ",212 ,196 ,252 ,<-,22년
슈프리마,528 ,122 ,114 ,149 ,<-,18년
,721 ,246 ,259 ,268 ,<-,19년
,578 ,106 ,94 ,150 ,<-,20년
,726 ,162 ,227 ,177 ,<-,21년
,894 ,179 ,179 ,189 ,<-,22년
대한약품,"1,587 ",362 ,285 ,449 ,<-,18년
,"1,688 ",336 ,282 ,353 ,<-,19년
,"1,661 ",300 ,174 ,336 ,<-,20년
,"1,715 ",291 ,227 ,406 ,<-,21년
,"1,843 ",330 ,250 ,290 ,<-,22년
노바렉스,"1,073 ",113 ,92 ,74 ,<-,18년
,"1,591 ",163 ,145 ,-13 ,<-,19년
,"2,228 ",270 ,250 ,163 ,<-,20년
,"2,788 ",300 ,263 ,241 ,<-,21년
,"2,817 ",252 ,199 ,201 ,<-,22년
제이씨케미칼,"1,813 ",90 ,23 ,137 ,<-,18년
,"2,024 ",130 ,117 ,27 ,<-,19년
,"2,677 ",192 ,74 ,56 ,<-,20년
,"3,929 ",398 ,334 ,-53 ,<-,21년
,"5,117 ",426 ,192 ,225 ,<-,22년
제이스텍,"1,262 ",63 ,80 ,-371 ,<-,18년
,"1,269 ",4 ,11 ,-83 ,<-,19년
,"1,144 ",-103 ,-146 ,87 ,<-,20년
,818 ,-15 ,54 ,74 ,<-,21년
,"1,439 ",375 ,278 ,287 ,<-,22년
알에프텍,"2,403 ",58 ,66 ,120 ,<-,18년
,"2,845 ",131 ,-26 ,122 ,<-,19년
,"2,579 ",98 ,-309 ,144 ,<-,20년
,"3,258 ",123 ,175 ,91 ,<-,21년
,"3,606 ",209 ,120 ,270 ,<-,22년
팅크웨어,"1,944 ",77 ,19 ,91 ,<-,18년
,"1,822 ",78 ,41 ,204 ,<-,19년
,"1,976 ",125 ,86 ,157 ,<-,20년
,"2,254 ",125 ,71 ,-203 ,<-,21년
,"3,367 ",45 ,45 ,-98 ,<-,22년
동아화성,"2,534 ",132 ,65 ,204 ,<-,18년
,"2,885 ",107 ,102 ,172 ,<-,19년
,"2,618 ",133 ,25 ,157 ,<-,20년
,"2,888 ",161 ,131 ,189 ,<-,21년
,"3,496 ",144 ,153 ,166 ,<-,22년
싸이맥스,"1,335 ",157 ,133 ,210 ,<-,18년
,835 ,20 ,32 ,7 ,<-,19년
,"1,729 ",230 ,230 ,264 ,<-,20년
,"2,423 ",324 ,242 ,360 ,<-,21년
,"1,951 ",212 ,78 ,-6 ,<-,22년
디아이티,769 ,58 ,76 ,121 ,<-,18년
,"1,188 ",132 ,132 ,25 ,<-,19년
,286 ,-19 ,15 ,14 ,<-,20년
,761 ,-59 ,-15 ,-86 ,<-,21년
,"1,329 ",55 ,93 ,79 ,<-,22년
야스,"1,845 ",442 ,360 ,319 ,<-,18년
,869 ,125 ,163 ,301 ,<-,19년
,551 ,23 ,117 ,78 ,<-,20년
,497 ,15 ,21 ,245 ,<-,21년
,548 ,-48 ,-13 ,-38 ,<-,22년
에스엔유,826 ,110 ,98 ,209 ,<-,18년
,643 ,89 ,77 ,28 ,<-,19년
,"1,019 ",87 ,50 ,310 ,<-,20년
,"1,140 ",61 ,85 ,92 ,<-,21년
,"1,244 ",66 ,76 ,89 ,<-,22년
네오팜,663 ,192 ,154 ,162 ,<-,18년
,832 ,230 ,192 ,192 ,<-,19년
,816 ,219 ,181 ,171 ,<-,20년
,879 ,224 ,177 ,217 ,<-,21년
,850 ,214 ,170 ,182 ,<-,22년
삼지전자,"14,396 ",325 ,297 ,-209 ,<-,18년
,"14,950 ",362 ,339 ,486 ,<-,19년
,"15,895 ",481 ,498 ,171 ,<-,20년
,"24,834 ",943 ,613 ,"1,958 ",<-,21년
,"29,220 ",885 ,780 ,295 ,<-,22년
제이엔케이히터,"1,505 ",49 ,-73 ,152 ,<-,18년
,"2,255 ",173 ,79 ,112 ,<-,19년
,"1,919 ",69 ,23 ,18 ,<-,20년
,"1,313 ",13 ,33 ,274 ,<-,21년
,"1,971 ",69 ,74 ,-62 ,<-,22년
케이엔제이,511 ,9 ,17 ,-81 ,<-,18년
,563 ,38 ,44 ,38 ,<-,19년
,426 ,26 ,-50 ,49 ,<-,20년
,465 ,44 ,55 ,116 ,<-,21년
,623 ,133 ,100 ,106 ,<-,22년
오션브릿지,942 ,173 ,141 ,293 ,<-,18년
,758 ,128 ,114 ,11 ,<-,19년
,916 ,154 ,155 ,63 ,<-,20년
,939 ,160 ,146 ,36 ,<-,21년
,"1,650 ",228 ,158 ,372 ,<-,22년
우리바이오,"12,796 ",-123 ,-325 ,108 ,<-,18년
,"16,726 ",265 ,61 ,658 ,<-,19년
,"16,234 ",390 ,170 ,694 ,<-,20년
,"15,433 ",428 ,440 ,502 ,<-,21년
,"13,551 ",344 ,251 ,434 ,<-,22년
에스제이그룹,686 ,78 ,35 ,62 ,<-,18년
,"1,095 ",164 ,131 ,152 ,<-,19년
,"1,071 ",180 ,156 ,138 ,<-,20년
,"1,497 ",291 ,232 ,286 ,<-,21년
,"1,979 ",358 ,291 ,233 ,<-,22년
유비쿼스,953 ,167 ,149 ,158 ,<-,18년
,"1,039 ",122 ,111 ,196 ,<-,19년
,"1,105 ",190 ,161 ,196 ,<-,20년
,"1,391 ",319 ,289 ,202 ,<-,21년
,"1,337 ",245 ,215 ,19 ,<-,22년
쎌바이오텍,625 ,217 ,194 ,140 ,<-,18년
,460 ,58 ,72 ,102 ,<-,19년
,456 ,37 ,32 ,96 ,<-,20년
,469 ,73 ,104 ,149 ,<-,21년
,505 ,61 ,83 ,128 ,<-,22년
가온미디어,"6,098 ",93 ,52 ,-755 ,<-,18년
,"6,010 ",291 ,178 ,437 ,<-,19년
,"4,831 ",93 ,20 ,461 ,<-,20년
,"5,331 ",284 ,188 ,-359 ,<-,21년
,"6,112 ",144 ,110 ,-232 ,<-,22년
현대에버다임,"3,112 ",142 ,101 ,140 ,<-,18년
,"2,486 ",31 ,12 ,-26 ,<-,19년
,"2,635 ",29 ,-71 ,361 ,<-,20년
,"3,179 ",-1 ,-184 ,-2 ,<-,21년
,"3,744 ",157 ,107 ,-169 ,<-,22년
디바이스이엔지,932 ,163 ,139 ,69 ,<-,18년
,432 ,44 ,46 ,212 ,<-,19년
,"1,262 ",437 ,304 ,359 ,<-,20년
,"1,251 ",358 ,315 ,222 ,<-,21년
,727 ,133 ,108 ,-4 ,<-,22년
네오셈,449 ,60 ,57 ,112 ,<-,18년
,272 ,-33 ,-16 ,-49 ,<-,19년
,486 ,120 ,81 ,138 ,<-,20년
,372 ,48 ,56 ,-46 ,<-,21년
,747 ,84 ,100 ,133 ,<-,22년
로체시스템즈,740 ,-10 ,-14 ,-12 ,<-,18년
,798 ,43 ,12 ,-28 ,<-,19년
,"1,802 ",93 ,84 ,191 ,<-,20년
,"1,102 ",133 ,95 ,150 ,<-,21년
,"1,446 ",264 ,203 ,50 ,<-,22년
대한뉴팜,"1,195 ",200 ,25 ,205 ,<-,18년
,"1,341 ",207 ,152 ,229 ,<-,19년
,"1,493 ",246 ,-101 ,135 ,<-,20년
,"1,666 ",267 ,157 ,166 ,<-,21년
,"1,980 ",276 ,243 ,143 ,<-,22년
우주일렉트로,"1,866 ",7 ,5 ,17 ,<-,18년
,"1,910 ",159 ,118 ,395 ,<-,19년
,"1,962 ",174 ,129 ,275 ,<-,20년
,"2,057 ",244 ,167 ,348 ,<-,21년
,"1,872 ",178 ,122 ,387 ,<-,22년
브이원텍,546 ,157 ,153 ,89 ,<-,18년
,268 ,48 ,66 ,38 ,<-,19년
,311 ,65 ,55 ,34 ,<-,20년
,511 ,50 ,106 ,22 ,<-,21년
,598 ,0 ,-40 ,-71 ,<-,22년
비엠티,769 ,82 ,69 ,-53 ,<-,18년
,744 ,64 ,54 ,105 ,<-,19년
,896 ,67 ,40 ,29 ,<-,20년
,"1,079 ",46 ,57 ,-8 ,<-,21년
,"1,421 ",230 ,149 ,-22 ,<-,22년
시그네틱스,"2,502 ",-72 ,-62 ,183 ,<-,18년
,"2,188 ",-196 ,-229 ,130 ,<-,19년
,"2,015 ",-145 ,-373 ,61 ,<-,20년
,"2,699 ",193 ,170 ,94 ,<-,21년
,"2,876 ",89 ,75 ,144 ,<-,22년
영화테크,535 ,31 ,39 ,71 ,<-,18년
,446 ,-15 ,-15 ,17 ,<-,19년
,350 ,1 ,4 ,16 ,<-,20년
,406 ,23 ,26 ,31 ,<-,21년
,479 ,19 ,48 ,52 ,<-,22년
디알젬,566 ,42 ,47 ,30 ,<-,18년
,601 ,46 ,55 ,30 ,<-,19년
,"1,066 ",230 ,200 ,101 ,<-,20년
,858 ,124 ,126 ,104 ,<-,21년
,"1,102 ",170 ,144 ,74 ,<-,22년
동양이엔피,"3,911 ",41 ,51 ,-181 ,<-,18년
,"4,827 ",293 ,256 ,263 ,<-,19년
,"4,614 ",410 ,235 ,747 ,<-,20년
,"5,194 ",148 ,177 ,-35 ,<-,21년
,"5,598 ",278 ,230 ,375 ,<-,22년
라이온켐텍,"1,379 ",28 ,19 ,52 ,<-,18년
,"1,561 ",115 ,107 ,70 ,<-,19년
,"1,326 ",159 ,77 ,226 ,<-,20년
,"1,504 ",94 ,85 ,22 ,<-,21년
,"1,520 ",110 ,88 ,184 ,<-,22년
모베이스전자,"7,180 ",17 ,-169 ,105 ,<-,18년
,"7,717 ",109 ,-99 ,450 ,<-,19년
,"7,365 ",-14 ,-177 ,432 ,<-,20년
,"7,646 ",155 ,56 ,364 ,<-,21년
,"9,222 ",439 ,68 ,447 ,<-,22년
비아트론,"1,291 ",292 ,245 ,296 ,<-,18년
,500 ,38 ,48 ,-81 ,<-,19년
,926 ,167 ,147 ,-27 ,<-,20년
,799 ,115 ,138 ,201 ,<-,21년
,710 ,140 ,159 ,39 ,<-,22년
금강철강,"1,950 ",15 ,53 ,152 ,<-,18년
,"1,713 ",22 ,44 ,50 ,<-,19년
,"1,752 ",32 ,28 ,31 ,<-,20년
,"2,362 ",91 ,102 ,136 ,<-,21년
,"2,442 ",49 ,54 ,43 ,<-,22년
현대공업,"1,586 ",-6 ,10 ,18 ,<-,18년
,"1,667 ",34 ,41 ,74 ,<-,19년
,"2,098 ",126 ,111 ,98 ,<-,20년
,"2,493 ",131 ,126 ,160 ,<-,21년
,"2,785 ",151 ,114 ,198 ,<-,22년
빅솔론,852 ,126 ,145 ,63 ,<-,18년
,848 ,95 ,96 ,120 ,<-,19년
,745 ,42 ,56 ,153 ,<-,20년
,"1,004 ",140 ,259 ,153 ,<-,21년
,"1,349 ",251 ,103 ,162 ,<-,22년
세운메디칼,631 ,180 ,101 ,122 ,<-,18년
,669 ,169 ,100 ,135 ,<-,19년
,637 ,144 ,108 ,193 ,<-,20년
,626 ,154 ,128 ,215 ,<-,21년
,601 ,122 ,106 ,93 ,<-,22년
서원인텍,"2,470 ",51 ,50 ,73 ,<-,18년
,"2,950 ",204 ,127 ,348 ,<-,19년
,"3,156 ",185 ,169 ,209 ,<-,20년
,"2,885 ",135 ,167 ,72 ,<-,21년
,"3,168 ",226 ,232 ,179 ,<-,22년
디스플레이텍,573 ,36 ,30 ,287 ,<-,18년
,436 ,66 ,54 ,89 ,<-,19년
,417 ,39 ,38 ,148 ,<-,20년
,"1,360 ",36 ,54 ,-42 ,<-,21년
,691 ,31 ,68 ,17 ,<-,22년
오리엔탈정공,775 ,-15 ,-31 ,-20 ,<-,18년
,"1,301 ",53 ,35 ,116 ,<-,19년
,"1,677 ",213 ,293 ,105 ,<-,20년
,"1,159 ",67 ,46 ,-15 ,<-,21년
,"1,316 ",92 ,84 ,111 ,<-,22년
휴비츠,789 ,83 ,76 ,84 ,<-,18년
,880 ,117 ,83 ,135 ,<-,19년
,701 ,69 ,-30 ,102 ,<-,20년
,950 ,97 ,91 ,228 ,<-,21년
,"1,094 ",190 ,166 ,88 ,<-,22년
엔브이에이치코리아,"6,220 ",30 ,-160 ,226 ,<-,18년
,"8,263 ",269 ,124 ,175 ,<-,19년
,"9,590 ",282 ,-118 ,457 ,<-,20년
,"10,688 ",428 ,196 ,470 ,<-,21년
,"12,300 ",532 ,76 ,945 ,<-,22년
오성첨단소재,441 ,7 ,55 ,95 ,<-,18년
,666 ,19 ,146 ,53 ,<-,19년
,796 ,61 ,104 ,98 ,<-,20년
,921 ,41 ,-115 ,26 ,<-,21년
,"1,171 ",129 ,24 ,318 ,<-,22년
메카로,"1,005 ",338 ,288 ,247 ,<-,18년
,725 ,86 ,78 ,149 ,<-,19년
,727 ,1 ,-35 ,126 ,<-,20년
,490 ,25 ,77 ,123 ,<-,21년
,540 ,26 ,437 ,49 ,<-,22년
대정화금,738 ,92 ,100 ,89 ,<-,18년
,796 ,104 ,61 ,108 ,<-,19년
,802 ,101 ,89 ,90 ,<-,20년
,889 ,79 ,84 ,95 ,<-,21년
,966 ,116 ,137 ,128 ,<-,22년
HRS,746 ,36 ,-75 ,-173 ,<-,18년
,667 ,16 ,10 ,199 ,<-,19년
,674 ,103 ,92 ,100 ,<-,20년
,841 ,179 ,208 ,-14 ,<-,21년
,861 ,114 ,100 ,149 ,<-,22년
엑시콘,565 ,37 ,37 ,69 ,<-,18년
,382 ,-52 ,-53 ,14 ,<-,19년
,674 ,83 ,122 ,177 ,<-,20년
,662 ,63 ,340 ,-68 ,<-,21년
,912 ,103 ,152 ,-25 ,<-,22년
진로발효,869 ,165 ,143 ,180 ,<-,18년
,884 ,165 ,143 ,148 ,<-,19년
,"1,019 ",155 ,114 ,181 ,<-,20년
,903 ,113 ,95 ,88 ,<-,21년
,996 ,38 ,36 ,-22 ,<-,22년
제노레이,563 ,110 ,95 ,69 ,<-,18년
,651 ,147 ,132 ,107 ,<-,19년
,617 ,111 ,102 ,85 ,<-,20년
,743 ,150 ,143 ,154 ,<-,21년
,826 ,149 ,139 ,148 ,<-,22년
에이치엘사이언스,641 ,122 ,109 ,130 ,<-,18년
,"1,283 ",237 ,197 ,214 ,<-,19년
,"1,430 ",236 ,196 ,150 ,<-,20년
,"1,044 ",148 ,135 ,106 ,<-,21년
,528 ,-6 ,15 ,40 ,<-,22년
그린플러스,464 ,51 ,23 ,-32 ,<-,18년
,488 ,51 ,25 ,-21 ,<-,19년
,627 ,59 ,-21 ,26 ,<-,20년
,832 ,51 ,-47 ,-10 ,<-,21년
,830 ,36 ,-35 ,86 ,<-,22년
나라엠앤디,"1,418 ",47 ,37 ,9 ,<-,18년
,"1,560 ",21 ,11 ,67 ,<-,19년
,"1,778 ",17 ,15 ,105 ,<-,20년
,"1,947 ",59 ,37 ,123 ,<-,21년
,"2,182 ",105 ,95 ,117 ,<-,22년
폴라리스세원,572 ,11 ,13 ,-40 ,<-,18년
,814 ,63 ,33 ,55 ,<-,19년
,721 ,46 ,95 ,7 ,<-,20년
,975 ,-19 ,83 ,-13 ,<-,21년
,"1,767 ",86 ,39 ,84 ,<-,22년
삼양옵틱스,605 ,141 ,125 ,146 ,<-,18년
,636 ,157 ,136 ,118 ,<-,19년
,386 ,30 ,21 ,138 ,<-,20년
,577 ,122 ,106 ,141 ,<-,21년
,549 ,110 ,83 ,122 ,<-,22년
유니테크노,664 ,61 ,56 ,74 ,<-,18년
,821 ,60 ,55 ,69 ,<-,19년
,754 ,60 ,98 ,88 ,<-,20년
,799 ,74 ,95 ,74 ,<-,21년
,824 ,61 ,49 ,83 ,<-,22년
알리코제약,953 ,74 ,12 ,-23 ,<-,18년
,"1,158 ",125 ,100 ,131 ,<-,19년
,"1,248 ",106 ,84 ,45 ,<-,20년
,"1,402 ",48 ,49 ,90 ,<-,21년
,"1,677 ",99 ,80 ,48 ,<-,22년
상보,527 ,19 ,-293 ,-8 ,<-,18년
,"1,182 ",0 ,-104 ,32 ,<-,19년
,"1,301 ",67 ,32 ,37 ,<-,20년
,724 ,57 ,20 ,82 ,<-,21년
,674 ,25 ,88 ,6 ,<-,22년
코콤,"1,636 ",172 ,139 ,149 ,<-,18년
,"1,339 ",133 ,82 ,151 ,<-,19년
,"1,189 ",109 ,73 ,121 ,<-,20년
,927 ,39 ,43 ,-36 ,<-,21년
,953 ,-23 ,-26 ,-13 ,<-,22년
우림피티에스,643 ,21 ,42 ,58 ,<-,18년
,555 ,-13 ,-7 ,79 ,<-,19년
,601 ,8 ,-80 ,39 ,<-,20년
,605 ,20 ,35 ,54 ,<-,21년
,683 ,54 ,51 ,18 ,<-,22년
흥국에프엔비,477 ,43 ,28 ,43 ,<-,18년
,538 ,58 ,53 ,98 ,<-,19년
,504 ,25 ,39 ,47 ,<-,20년
,715 ,67 ,63 ,184 ,<-,21년
,973 ,105 ,119 ,75 ,<-,22년
에스씨디,"1,593 ",49 ,78 ,24 ,<-,18년
,"1,749 ",35 ,-10 ,37 ,<-,19년
,"1,908 ",52 ,38 ,119 ,<-,20년
,"2,022 ",91 ,69 ,16 ,<-,21년
,"2,189 ",113 ,83 ,145 ,<-,22년
KCI,606 ,114 ,89 ,75 ,<-,18년
,696 ,145 ,114 ,139 ,<-,19년
,733 ,141 ,106 ,100 ,<-,20년
,815 ,124 ,102 ,77 ,<-,21년
,"1,096 ",219 ,178 ,130 ,<-,22년
안국약품,"1,857 ",154 ,132 ,-12 ,<-,18년
,"1,559 ",24 ,21 ,221 ,<-,19년
,"1,434 ",-1 ,-14 ,112 ,<-,20년
,"1,635 ",-11 ,37 ,15 ,<-,21년
,"2,054 ",97 ,69 ,18 ,<-,22년
피제이전자,"1,012 ",61 ,71 ,117 ,<-,18년
,993 ,59 ,49 ,60 ,<-,19년
,"1,042 ",56 ,50 ,19 ,<-,20년
,"1,199 ",68 ,82 ,15 ,<-,21년
,"1,577 ",61 ,70 ,11 ,<-,22년
삼아제약,669 ,94 ,88 ,128 ,<-,18년
,716 ,104 ,102 ,132 ,<-,19년
,537 ,39 ,1 ,94 ,<-,20년
,547 ,60 ,34 ,129 ,<-,21년
,817 ,183 ,119 ,196 ,<-,22년
디케이락,665 ,59 ,56 ,59 ,<-,18년
,744 ,98 ,85 ,29 ,<-,19년
,712 ,25 ,-1 ,65 ,<-,20년
,855 ,84 ,90 ,97 ,<-,21년
,"1,099 ",114 ,58 ,15 ,<-,22년
에스텍파마,403 ,15 ,66 ,72 ,<-,18년
,465 ,38 ,152 ,43 ,<-,19년
,613 ,80 ,157 ,47 ,<-,20년
,604 ,42 ,69 ,6 ,<-,21년
,620 ,32 ,-64 ,-16 ,<-,22년
엠에스씨,"1,446 ",135 ,107 ,89 ,<-,18년
,"1,507 ",147 ,116 ,150 ,<-,19년
,"1,464 ",129 ,89 ,119 ,<-,20년
,"1,620 ",213 ,154 ,223 ,<-,21년
,"2,043 ",247 ,181 ,-78 ,<-,22년
